timestamp[ms],left_dx[um],left_dy[um],left_dt[us],motL,right_dx[um],right_dy[um],right_dt[us],motR,waterPin
6581,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6601,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6621,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6641,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6661,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6681,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6701,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6721,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6741,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6761,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6781,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6801,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6821,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6841,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6861,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6881,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6901,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6921,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6941,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6961,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6981,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
7001,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
7021,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
7041,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
7061,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
7081,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
7101,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
7121,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
7141,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
7161,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
7181,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
7201,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
7221,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
7241,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
7261,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
7281,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
7301,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
7321,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
7341,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
7361,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
7381,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
7401,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
7421,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
7441,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
7461,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
7481,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
7501,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
7521,0.000,0.000,20002.000,32,0.000,0.000,20000.000,32,0
7541,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
7561,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
7581,0.000,0.000,19999.000,32,0.000,0.000,20000.000,32,0
