timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us],t=0.0510319995
11527313,0.000,0.000,50136.000,-1.992,-1.992,50136.000,t=13.8825197219
11577370,7.471,0.000,626.000,-1.992,-1.992,1380.000,t=13.9326324462
11578790,0.000,67.235,49502.000,-1.992,-1.992,48749.000,t=13.9827518463
11627570,186.765,67.235,50125.000,-1.992,-1.992,50124.000,t=14.0328598022
11677756,268.941,0.000,50131.000,-1.992,-1.992,50131.000,t=14.0829763412
11727828,119.529,0.000,700.000,-1.992,-1.992,1380.000,t=14.1330842971
11729181,0.000,44.824,49430.000,-1.992,-1.992,48750.000,t=14.1831922531
11777940,141.941,0.000,682.000,-1.992,-1.992,1381.000,t=14.2333040237
11779323,0.000,141.941,49446.000,-1.992,-1.992,48749.000,t=14.2834119796
11828089,171.824,141.941,703.000,-1.992,-1.992,1379.000,t=14.3335275650
11829519,7.471,0.000,49427.000,-1.992,-1.992,48750.000,t=14.3836479187
11878178,-59.765,52.294,50127.000,-1.992,-1.992,50127.000,t=14.4337682723
11928407,-104.588,291.353,764.000,-1.992,-1.992,1379.000,t=14.4838876724
11929779,-7.471,0.000,49370.000,-1.992,-1.992,48754.000,t=14.5340003967
11978456,-29.882,112.059,679.000,-1.992,-1.992,1379.000,t=14.5841159820
11979903,0.000,0.000,49453.000,-1.992,-1.992,48755.000,t=14.6342363357
12028548,-104.588,298.824,50124.000,-1.992,-1.992,50122.000,t=14.6843481063
12078800,-194.235,0.000,767.000,-1.992,-1.992,1380.000,t=14.7344684600
12080107,-7.471,0.000,49351.000,-1.992,-1.992,48738.000,t=14.7845802307
12128826,-313.765,14.941,50126.000,-1.992,-1.992,50127.000,t=14.8346920013
12179048,97.118,59.765,50127.000,-1.992,-1.992,50127.000,t=14.8848037719
12229163,156.882,149.412,50120.000,-1.992,-1.992,50119.000,t=14.9349117279
12279296,5767.294,74.706,50130.000,-1.992,-1.992,50131.000,t=14.9850244522
12329421,-14.941,74.706,50137.000,-1.992,-1.992,50137.000,t=15.0351324081
12379545,-59.765,-67.235,50131.000,-1.992,-1.992,50132.000,t=15.0852441787
12429682,7.471,-29.882,50130.000,-1.992,-1.992,50128.000,t=15.1353559494
